_id,Tema,Fichas_Dataset,XLS,SHP,KML,CSV,RSS,JSON,XML,ODS,RDF,GTFS,TSV,URL_ficha
156,Sector público,Índice de Precios Industriales (IPRI),,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indice-de-precios-industriales-ipri
157,Sector público,Índice de producción industrial (IPI),,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indice-de-produccion-industrial-ipi
158,Sector público,Indices de precios al consumo,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/indices-de-precios-al-consumo
159,Hacienda,Información Catastral,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/informaci-n-catastral
160,Deporte,Información de instalaciones deportivas,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/informaci-n-de-instalaciones-deportivas
161,Medio ambiente,Información SIGPAC,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/informaci-n-sigpac
162,Transporte,Información sobre el estado de las carreteras de Navarra,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/informaci-n-sobre-el-estado-de-las-carreteras-de-navarra
163,Sector público,Inversión,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/inversion
164,Empleo,Liberados sindicales,P,,,,,,,P,,,,https://datosabiertos.navarra.es/es/dataset/liberados-sindicales
165,Sociedad y bienestar,Localidades para Asociaciones Juveniles,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/localidades-para-asociaciones-juveniles
166,Medio ambiente,Manantiales de Navarra,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/manantiales-de-navarra
167,Transporte,Mapa oficial de carreteras de Navarra 2012,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/mapa-oficial-de-carreteras-de-navarra-2012
168,Sector público,Marco Input-Output,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/marco-input-output
169,Sector público,Matrimonios y nupcialidad,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/matrimonios-y-nupcialidad
170,Empleo,Mesas de negociación sindical,P,,,,,,,P,,,,https://datosabiertos.navarra.es/es/dataset/mesas-de-negociaci-n-sindical
171,Sector público,Meteorología,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/meteorologia
172,Cultura y ocio,Museos de Navarra,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/museos-de-navarra-
173,Sector público,Nivel educativo de la población,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/nivel-educativo-de-la-poblacion
174,Sector público,Ocupación en albergues,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/ocupacion-en-albergues
175,Sector público,Ocupación en alojamientos de turismo rural,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/ocupacion-en-alojamientos-de-turismo-rural
176,Sector público,Ocupación en apartamentos turísticos,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/ocupacion-en-apartamentos-turisticos
177,Sector público,Ocupación en campings,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/ocupacion-en-campings
